,Unnamed: 0,LOGO,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 14,Unnamed: 3.1,Unnamed: 4.1,Unnamed: 5.1,Unnamed: 6,Unnamed: 7,Unnamed: 8.1,Unnamed: 9.1,Unnamed: 10.1,Unnamed: 11.1,Unnamed: 12,Unnamed: 13,Unnamed: 14.1,Unnamed: 12.1,Unnamed: 13.1,Unnamed: 14.2,Unnamed: 5.2
0,7,TAG,B_431FM2_F1,C_431BE1_JT,D_441CN1A_1B_TT01,E_451PC1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,N_461KL1_AT_NO,C_441CN1A_TT03,D_441CN1A_TT02,E_441CN1B_TT03,F_441CN1B_TT02,G_441CN2_TT01,H_441CN2_TT02,I_441CN3_TT01,J_441CN3_TT02,K_441CN4_TT01,L_441CN4_TT02,M_441CN5_TT01,N_441CN5_TT02,L_451PC1_PT01,M_451PC1_PT03,N_461KL1_PT01,E_481FM1_FI
1,8,TAG DES,Kiln Feed,Kiln Feed BE KW,PH O/L TEMP.,Calciner Outlet Temp (TC)',BURNING ZONE TEMP,Kiln rpm,Kiln current,kiln M.DRIVE POWER,Kiln I/L Gas Analyser NO,Cyn-1A Gas Temp,Cyn-1A Meterial Temp,Cyn-1B Gas Temp,Cyn-1B Meterial Temp,Cyn-2 Gas Temp,Cyn-2 Meterial Temp,Cyn-3 Gas Temp,Cyn-3 Meterial Temp,Cyn-4 Gas Temp,Cyn-4 Meterial Temp,Cyn-5 Gas Temp,Cylone -5 Metrial Temp (TC)',Calciner Outlet Pressure,Calciner Intlet Pressure,Kiln Inlet Pressure,PC COAL TPH
2,9,06/01/2019 07:00:00,226.0,82.5,382.6,972.2,1086.8,3.3,478.1,347.1,428.8,375.3,367.3,391.9,369.1,408.0,407.1,614.5,618.1,771.0,781.3,882.3,1009.7,-86.6,-30.2,-29.4,7.6
3,10,06/01/2019 14:00:00,278.4,97.0,354.9,955.5,763.7,5.0,381.8,372.7,519.1,365.5,356.7,363.4,347.5,377.7,378.3,591.7,590.0,779.8,779.4,885.8,1011.0,-135.6,-31.9,-21.8,9.3
4,11,06/03/2019 11:00:00,235.1,86.8,359.4,944.4,1021.3,5.0,363.6,348.1,291.4,357.5,358.4,367.3,373.0,381.4,381.5,596.8,592.2,800.4,783.2,906.4,1019.2,-160.0,-48.9,-41.0,7.9
5,12,06/03/2019 12:00:00,226.4,84.0,345.2,919.9,751.9,3.6,359.7,250.4,395.7,343.1,345.0,353.4,356.7,366.6,366.4,584.1,576.1,794.6,779.7,887.5,999.5,-156.6,-42.7,-31.1,8.5
6,13,06/03/2019 13:00:00,209.6,79.2,358.9,914.6,750.0,3.5,379.4,264.8,346.8,360.1,357.1,368.6,368.1,382.7,381.6,588.8,590.9,794.6,781.4,882.5,983.5,-168.5,-38.7,-51.2,8.1
7,14,06/03/2019 14:00:00,194.3,74.8,370.6,971.0,750.0,3.8,428.9,340.6,374.3,372.5,367.0,381.1,377.7,396.5,394.2,600.7,604.0,799.3,785.3,922.2,1021.1,-197.9,-37.9,-68.7,7.2
8,15,06/03/2019 15:00:00,180.0,71.1,377.3,965.9,755.4,3.6,437.3,336.1,318.2,379.4,371.3,387.5,380.6,403.4,400.5,612.5,611.9,794.2,786.5,907.7,1009.0,-183.3,-36.7,-54.7,6.9
9,16,06/03/2019 16:00:00,179.4,70.8,377.4,963.4,750.0,3.0,461.3,298.5,223.7,383.7,372.9,388.0,380.4,402.9,399.8,615.2,612.0,805.4,791.1,903.4,1025.1,-120.4,-33.7,-49.2,6.9
10,17,06/03/2019 18:00:00,160.8,66.5,384.0,959.7,750.0,3.2,372.3,237.2,339.2,379.4,379.5,393.6,382.7,407.4,403.0,617.9,610.1,788.2,781.4,855.4,970.0,-52.5,-26.6,-7.1,5.6
11,18,06/03/2019 19:00:00,202.2,77.1,378.6,948.0,750.0,4.0,375.3,297.7,361.0,372.1,376.4,386.6,378.8,400.2,399.0,612.8,608.6,796.9,786.3,891.5,994.4,-78.4,-25.9,-19.6,7.5
12,19,06/03/2019 20:00:00,240.9,88.4,360.9,958.1,750.0,4.2,374.5,311.2,404.3,351.9,359.6,368.5,368.4,379.4,380.7,597.2,591.6,799.8,786.5,916.0,1006.0,-133.4,-24.1,-30.8,9.1
13,20,06/03/2019 21:00:00,252.0,91.6,361.0,961.7,750.0,4.3,374.6,319.5,312.6,354.7,358.7,369.2,366.5,381.1,381.9,592.5,592.4,794.3,787.1,911.3,999.3,-137.1,-33.0,-33.5,9.2
14,21,06/03/2019 22:00:00,251.8,91.4,363.6,956.4,750.0,4.5,380.8,341.8,254.4,357.9,359.6,371.3,366.8,384.1,384.4,594.7,595.4,791.0,788.0,900.8,992.0,-134.8,-35.8,-32.5,9.0
15,22,06/03/2019 23:00:00,260.7,93.3,355.8,953.3,750.0,4.8,375.0,358.0,324.4,348.1,351.0,363.1,358.8,374.8,375.6,589.2,587.0,785.7,786.1,886.3,993.0,-131.8,-29.9,-29.8,9.4
16,23,06/05/2019 19:00:00,310.8,105.9,340.9,915.4,1367.4,5.0,415.5,418.7,41.2,326.4,340.2,347.4,329.6,358.9,359.2,570.9,569.0,784.3,771.9,910.2,1016.3,-156.3,-39.7,-40.0,13.1
17,24,06/06/2019 22:00:00,314.7,106.9,341.9,931.0,1134.2,5.0,414.9,416.2,34.9,336.3,339.4,349.1,330.2,361.3,361.7,572.7,572.4,792.4,781.7,904.0,1034.2,-180.6,-45.6,-58.1,11.4
18,25,06/07/2019 08:00:00,315.5,107.3,342.7,931.3,1152.5,5.0,427.3,432.7,228.1,339.0,329.6,349.6,331.4,362.0,362.1,574.5,574.2,764.9,794.7,901.3,1023.2,-178.1,-47.4,-55.9,11.5
19,26,06/07/2019 11:00:00,301.4,103.9,350.9,967.6,1120.0,5.0,441.9,453.6,248.1,367.6,346.6,358.3,338.9,370.7,370.9,585.5,586.1,777.1,791.8,921.5,1049.1,-179.5,-48.5,-56.5,10.8
20,27,06/07/2019 18:00:00,267.0,95.7,351.2,951.1,1197.3,5.0,503.0,523.4,80.9,343.3,346.5,358.2,341.3,369.1,369.0,587.8,585.5,796.4,791.8,914.0,1036.9,-140.2,-41.1,-39.7,9.5
21,28,06/07/2019 19:00:00,270.8,96.9,349.0,951.3,1238.6,5.0,518.0,536.4,193.5,339.1,346.0,356.0,339.4,366.7,366.5,583.7,581.7,806.0,787.5,919.7,1029.9,-139.4,-40.5,-37.2,10.0
22,29,06/07/2019 20:00:00,272.8,97.6,346.8,938.7,1285.3,5.0,479.8,490.9,10.3,338.6,342.6,353.8,337.4,364.4,364.3,579.9,577.0,799.3,778.4,906.1,999.2,-138.7,-41.9,-37.6,10.3
23,30,06/08/2019 08:00:00,252.6,93.3,351.3,945.7,1243.6,4.8,402.6,388.7,33.3,359.7,351.5,358.5,338.8,369.1,368.9,591.8,586.8,772.2,783.2,901.4,1017.5,-130.4,-28.3,-30.7,9.1
24,31,06/08/2019 22:00:00,286.7,100.5,346.9,955.0,1158.6,5.0,367.2,355.3,15.1,328.4,346.1,353.6,335.5,364.7,364.6,583.5,581.1,801.2,787.5,950.0,993.0,-150.1,-34.2,-31.9,11.8
25,32,06/09/2019 04:00:00,288.8,100.5,336.3,946.6,1180.3,5.0,357.8,338.0,45.4,329.2,333.6,343.2,326.4,353.4,353.6,571.9,568.9,803.9,792.8,928.7,1029.7,-145.5,-40.6,-24.8,11.7
