,Unnamed: 0,TAG,B_431FM2_FI,C_431BE1_JT,D_471FN1_FT01,E_471FN2_FT01,F_471FN3_FT01,G_471FN4_FT01,H_471FN5_FT01,I_471FN6_FT01,J_471FN7_FT01,K_471CLNKR_TT,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,E _471FN2_PT01,F_471FN3_PT01,G_471FN4_PT01,H_471FN5_PT01,I_471FN6_PT01,J_471FN7_PT01
0,0,TAG DES,Kiln Feed,Kiln Feed BE KW,COOLER FAN-1 FOLW,COOLER FAN-2 FOLW,COOLER FAN-3 FOLW,COOLER FAN-4 FOLW,COOLER FAN-5 FOLW,COOLER FAN-6 FOLW,COOLER FAN-7 FOLW,CLINKER TEMP,TERITIARY AIR TEMP,Kiln I/L Temp,BURNING ZONE TEMP,Kiln rpm,Kiln current,kiln M.DRIVE POWER,COOLER FAN-2 PRESSURE,COOLER FAN-3 PRESSURE,COOLER FAN-4 PRESSURE,COOLER FAN-5 PRESSURE,COOLER FAN-6 PRESSURE,COOLER FAN-7 PRESSURE
1,1,UNIT,TPH,Kw,m³/min,m³/min,m³/min,m³/min,m³/min,m³/min,m³/min,°C,°C,°C,°C,rpm,A,Kw,mmWc,mmWc,mmWc,mmWc,mmWc,mmWc
2,2,06-01-2019 07:00,226.0,82.5,578.4,1050.6,1276.6,1113.3,950.0,658.3,659.0,92.7,910.2,1132.8,1086.8,3.3,478.1,347.1,877.9,907.4,854.8,779.3,534.0,366.3
3,3,06-01-2019 14:00,278.4,97.0,579.1,1049.4,1292.8,1201.5,1100.0,758.7,745.5,106.9,952.2,1137.5,763.7,5.0,381.8,372.7,889.9,892.8,819.1,729.7,503.3,342.8
4,4,06-03-2019 12:00,226.4,84.0,503.9,1004.7,1307.1,1341.8,1101.2,601.8,600.8,94.1,888.3,1209.7,751.9,3.6,359.7,250.4,548.4,686.3,730.8,676.6,414.2,303.2
5,5,06-03-2019 13:00,209.6,79.2,501.2,1002.0,1292.8,1308.0,1092.8,600.8,601.6,86.7,882.4,1215.6,750.0,3.5,379.4,264.8,551.0,714.8,746.4,700.8,424.2,303.2
6,6,06-03-2019 14:00,194.3,74.8,500.2,1001.0,1150.1,1099.4,947.8,598.8,600.7,91.2,894.0,1237.0,750.0,3.8,428.9,340.6,541.5,608.6,612.7,596.8,402.6,301.3
7,7,06-03-2019 15:00,180.0,71.1,499.2,982.5,1142.6,1096.0,951.5,637.0,631.0,95.3,890.3,1205.0,755.4,3.6,437.3,336.1,444.7,501.8,530.1,547.5,409.9,301.3
8,8,06-03-2019 16:00,179.4,70.8,497.8,983.9,1130.6,1070.2,924.1,598.4,598.8,102.5,891.6,1217.5,750.0,3.0,461.3,298.5,562.4,589.2,553.8,534.7,387.7,294.6
9,9,06-03-2019 18:00,160.8,66.5,501.6,992.3,830.6,765.0,674.0,619.1,594.0,164.9,954.8,1085.1,750.0,3.2,372.3,237.2,933.0,825.3,753.7,708.3,556.5,338.6
10,10,06-03-2019 19:00,202.2,77.1,636.2,1089.7,1100.5,920.6,827.9,696.8,658.2,142.0,865.2,1141.1,750.0,4.0,375.3,297.7,713.7,671.6,611.0,602.0,490.5,351.8
11,11,06-03-2019 20:00,240.9,88.4,650.0,1134.6,1199.8,914.2,837.7,740.2,700.0,114.3,956.9,1175.7,750.0,4.2,374.5,311.2,830.5,782.8,674.3,651.8,534.6,374.5
12,12,06-03-2019 21:00,252.0,91.6,650.6,1149.3,1126.5,942.1,900.1,825.0,773.7,116.0,950.6,1187.8,750.0,4.3,374.6,319.5,829.2,759.6,693.8,690.3,604.4,424.2
13,13,06-03-2019 22:00,251.8,91.4,608.9,1121.1,1246.9,1102.9,997.0,791.0,706.3,118.0,944.7,1183.9,750.0,4.5,380.8,341.8,858.0,837.5,797.3,768.0,605.9,388.9
14,14,06-03-2019 23:00,260.7,93.3,580.3,1051.3,1264.1,1137.8,1067.5,830.9,818.1,103.4,976.3,1159.8,750.0,4.8,375.0,358.0,875.3,871.9,817.3,776.9,607.3,415.9
15,15,06-04-2019 13:00,300.4,102.9,665.6,1113.7,1137.3,1029.9,984.7,946.5,938.7,136.2,945.6,1165.3,1200.8,5.0,384.2,377.7,902.7,841.3,765.1,741.2,640.7,471.0
