,Unnamed: 0,TAG,A_431FM1_FI,B_431FM2_FI,C_431BE1_JT,D_471FN1_FT01,E_471FN2_FT01,F_471FN3_FT01,G_471FN4_FT01,H_471FN5_FT01,I_471FN6_FT01,J_471FN7_FT01,K_471CLNKR_TT,L_SPC_COOLING_AIR,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,E _471FN2_PT01,F_471FN3_PT01,G_471FN4_PT01,H_471FN5_PT01,I_471FN6_PT01,J_471FN7_PT01
561,742,07-01-2019 20:00,0,151.2,67.7,118.6,153.4,321.5,244,150.5,276.5,0,55.8,0,251.6,371.5,0,0,0.3,2.6,13.7,14.6,2.2,33.3,-8,14.6
562,743,07-01-2019 21:00,0,151.2,66.8,114,152.3,320.3,244,150,280.1,0,55.6,0,221,370.6,0,0,0.3,2.6,13.8,14.7,2.3,33.3,-8.2,14.6
563,744,07-01-2019 22:00,0,151.1,66.6,115.4,152,319.3,243.7,150.7,280.2,0,55.4,0,253.1,418.9,0,0,0.3,2.6,14,14.6,2.3,33.8,-8.3,14.6
564,745,07-01-2019 23:00,0,151,66.7,108.4,152.2,312.1,242.2,148.3,283,0,55.2,0,244.8,538,0,0,0.3,2.6,14,14.6,2.4,34,-8.3,14.5
565,746,07-02-2019 00:00,0,151,66.8,109.9,152.4,312.7,242.4,149.8,280,0.3,54.6,0,221.4,539.4,0,0,0.3,2.6,14.1,14.7,2.3,34.1,-8.3,14.5
566,747,07-02-2019 01:00,0,151.1,66.8,96,154.7,297.2,237.7,148.5,266,4.3,50.5,0,221.2,622.1,0,0.2,0.3,2.6,13.4,14.6,2.4,32,-8.3,14.1
567,748,07-02-2019 02:00,0,151.1,66.7,112.8,152.5,306.4,245.1,154.3,268.8,2.4,49.9,0,227.2,794,0,0.2,0.3,2.6,13.3,14.8,2.3,33.4,-8.9,13.7
568,749,07-02-2019 03:00,0,151.1,67.1,191.1,291.5,426.6,383.8,322.8,405.1,335.3,50.8,0,251.5,915.7,0,0.2,0.3,2.6,139.6,132.8,121.1,127.9,87.7,103.6
1409,1601,08-06-2019 15:00,0,150.2,64.7,197.9,198.6,329.9,271.1,153.2,283.3,0,55.4,0,378.3,455.6,750,0.2,0.4,2.6,76,20.7,6.4,35.6,-7.2,16.1
1754,1993,22-08-2019 23:00,0,150.3,65.3,186.9,262.3,398,321.1,233,324.2,175.7,52.4,0,229.2,832.9,783.2,0.2,0.5,2.7,106.4,87.2,56,83.5,38.4,60.1
1862,2633,18-09-2019 15:00,0,288.9,100.1,121.7,151.7,318.5,237.9,152.5,287.3,5,57.2,0,34.8,0,0,0,0,1.3,15.5,17.4,3.5,36.8,-6.4,17.3
1863,2635,18-09-2019 17:00,0,291.6,101.5,123,152.7,315.4,238.9,150.4,279.6,0,56.8,0,85.5,141.7,750,0,0,1.6,15.5,17.3,3.4,36.5,-6.4,17.3
