,B_431FM2_FI,C_431BE1_JT,D_471FN1_FT01,E_471FN2_FT01,F_471FN3_FT01,G_471FN4_FT01,H_471FN5_FT01,I_471FN6_FT01,J_471FN7_FT01,K_471CLNKR_TT,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,E _471FN2_PT01,F_471FN3_PT01,G_471FN4_PT01,H_471FN5_PT01,I_471FN6_PT01,J_471FN7_PT01
2,299.4,102.0,580.5,1052.4,1348.2,1152.5,1033.9,766.6,724.8,110.4,974.1,1153.9,1135.5,5.0,388.0,383.3,837.8,882.3,842.3,796.9,587.4,390.9
3,300.1,101.7,580.7,1050.0,1338.9,1126.7,1047.0,764.9,722.6,109.6,981.9,1147.5,1141.8,5.0,399.5,397.7,859.7,889.9,842.0,794.5,588.7,388.9
4,299.6,101.8,579.9,1051.0,1355.8,1180.8,1036.0,774.0,735.3,108.8,985.4,1157.7,1134.9,5.0,400.5,394.8,840.7,880.1,841.2,792.1,598.6,401.1
5,300.0,101.7,580.0,1049.6,1355.7,1152.9,1010.8,777.0,740.4,105.6,990.9,1143.0,1123.4,5.0,398.7,396.3,844.3,883.8,847.5,804.9,612.2,412.9
6,299.7,101.3,579.4,1050.4,1365.7,1178.5,1027.1,756.9,710.3,106.4,983.2,1136.1,1111.8,5.0,393.2,386.7,835.2,877.5,843.3,802.3,604.0,407.8
8,268.9,95.0,579.6,1047.1,1320.6,1128.4,1015.1,665.1,650.7,101.7,932.9,1169.6,1018.6,4.2,407.6,341.1,824.6,900.3,853.2,780.7,511.5,357.6
9,226.0,82.5,578.4,1050.6,1276.6,1113.3,950.0,658.3,659.0,92.7,910.2,1132.8,1086.8,3.3,478.1,347.1,877.9,907.4,854.8,779.3,534.0,366.3
10,260.6,92.9,580.5,1052.6,1290.5,1200.9,996.6,843.5,800.9,113.6,1002.4,1157.0,1169.0,4.5,422.8,393.9,881.2,875.8,833.6,775.8,630.8,434.2
11,261.6,93.4,580.4,1049.3,1313.9,1118.9,977.9,801.4,751.6,128.7,978.8,1150.4,1098.8,4.4,385.0,341.7,865.9,884.3,844.5,800.1,623.6,410.3
12,260.6,93.1,580.4,1050.1,1316.8,1154.1,992.3,725.5,690.9,136.5,941.4,1112.5,1119.9,4.1,396.2,327.0,859.7,878.7,835.2,782.1,574.3,384.7
13,260.4,92.8,579.6,1049.9,1321.8,1194.5,1052.3,715.5,703.6,115.3,961.2,1100.7,1194.4,4.3,401.0,348.8,861.6,869.7,824.5,769.2,545.3,374.3
15,278.6,97.7,576.4,1049.2,1313.8,1220.5,1096.9,824.6,794.8,106.9,987.8,1124.0,1045.8,5.0,389.6,378.6,870.7,872.6,814.4,735.1,559.1,383.2
16,278.4,97.0,579.1,1049.4,1292.8,1201.5,1100.0,758.7,745.5,106.9,952.2,1137.5,763.7,5.0,381.8,372.7,889.9,892.8,819.1,729.7,503.3,342.8
17,278.3,96.7,580.0,1049.1,1284.1,1144.5,1029.8,725.4,725.7,115.5,936.0,1150.8,849.3,4.8,378.5,359.5,870.6,888.4,843.7,787.6,556.3,372.7
18,278.4,96.9,579.0,1049.8,1324.9,1200.2,1050.7,668.9,667.5,113.9,966.9,1149.2,1132.2,4.8,375.6,349.1,858.3,880.8,841.7,782.5,524.6,361.8
19,278.7,97.2,580.3,1050.6,1337.3,1199.9,1062.1,701.7,678.8,114.1,948.2,1149.3,1146.0,4.9,381.6,366.0,868.6,887.8,840.6,781.8,539.7,367.1
20,278.4,97.2,580.2,1049.9,1338.8,1230.9,1085.3,753.3,698.7,110.0,924.2,1142.0,1171.3,4.9,384.1,372.9,865.3,884.1,832.2,767.0,546.6,367.3
21,277.9,97.0,580.3,1051.1,1326.9,1206.3,1079.8,758.8,699.8,106.4,944.1,1148.2,1153.4,5.0,385.6,378.5,870.3,888.9,834.1,769.4,544.5,362.7
22,278.6,97.3,580.2,1046.9,1350.0,1193.5,1050.9,742.5,692.2,110.5,941.7,1150.4,1138.1,5.0,376.9,365.1,847.8,884.5,838.9,787.7,570.1,375.5
23,278.4,97.1,579.3,1049.5,1338.9,1205.0,1090.0,666.9,656.7,108.6,950.5,1155.5,1155.5,5.0,378.8,368.1,869.1,886.5,833.7,764.7,492.6,339.9
24,278.7,97.5,579.7,1050.1,1318.0,1173.1,1060.8,695.9,666.0,107.7,949.5,1161.5,1136.5,5.0,380.8,369.1,861.8,884.8,838.0,780.5,530.7,352.7
25,277.9,97.1,580.3,1049.8,1326.2,1172.0,1051.2,685.6,663.1,112.9,960.3,1152.1,1139.2,5.0,377.1,366.3,855.9,884.7,837.7,784.1,538.6,356.2
26,278.8,97.0,580.3,1050.4,1338.0,1140.8,1038.4,650.6,649.2,109.9,945.6,1162.0,1124.2,5.0,372.5,363.5,851.6,885.9,844.3,789.9,521.9,354.0
27,280.2,97.1,555.8,1051.0,1349.4,1194.7,1072.6,689.4,634.6,97.1,963.6,1165.7,1151.9,5.0,396.8,394.4,853.4,882.4,836.2,775.2,512.9,337.6
28,279.5,97.1,550.1,1049.8,1339.2,1225.1,1080.6,785.5,675.7,93.2,976.1,1180.6,1166.0,5.0,394.6,390.8,851.4,874.3,829.8,771.7,576.8,364.6
29,279.2,97.0,550.0,1051.5,1333.9,1206.0,1080.3,760.5,666.4,105.9,974.5,1172.3,1161.4,5.0,380.6,373.5,852.5,878.0,831.7,775.5,561.8,364.3
30,279.8,97.0,550.4,1049.6,1328.1,1230.7,1088.7,751.5,662.6,105.0,963.9,1174.0,1170.0,5.0,381.0,370.8,853.3,875.8,830.8,766.7,547.2,349.2
31,279.2,97.4,549.7,1049.9,1347.4,1232.5,1095.2,715.4,654.8,102.4,962.8,1187.6,1176.3,5.0,375.4,366.2,855.9,883.5,832.0,761.6,512.9,336.2
32,279.4,96.8,550.7,1049.5,1348.4,1254.9,1098.7,728.0,658.9,103.8,962.2,1184.1,1189.5,5.0,370.0,359.0,854.7,880.3,826.8,752.6,525.3,348.4
33,278.4,97.2,549.8,1049.9,1355.3,1232.4,1095.0,717.0,654.9,100.7,952.4,1183.6,1185.3,5.0,364.2,346.4,849.7,878.2,830.7,763.8,516.0,339.8
34,277.5,96.8,550.2,1049.4,1337.1,1072.9,946.1,719.5,655.4,108.3,950.6,1175.0,1144.1,5.0,360.0,341.7,862.4,882.6,771.0,698.8,506.3,334.8
35,277.8,96.6,549.9,1049.3,1363.9,991.9,900.0,712.2,652.8,122.6,961.6,1187.8,1146.3,5.0,357.8,342.5,844.9,867.3,724.9,676.8,509.1,339.1
36,277.7,96.4,550.3,1050.4,1344.2,999.1,900.6,706.0,655.7,122.6,957.1,1180.5,1140.5,5.0,364.2,349.4,855.3,873.1,745.2,689.3,513.8,347.8
37,278.2,96.4,550.9,1050.6,1318.0,998.6,911.1,764.9,710.7,132.6,971.2,1122.7,1150.2,5.0,375.1,367.7,865.5,874.4,748.2,702.1,550.2,374.1
38,278.0,96.7,549.2,1049.2,1303.5,1196.4,1071.1,808.2,757.5,130.2,969.4,1182.3,1192.5,5.0,380.5,371.1,853.6,860.7,810.4,763.1,588.5,411.3
39,278.4,96.5,550.4,1050.2,1290.3,1159.2,1066.8,817.0,763.6,128.5,975.7,1180.5,1205.9,5.0,369.1,356.1,864.0,865.1,806.7,759.1,574.3,393.2
40,278.7,96.9,548.0,1050.0,1315.0,1177.0,1075.9,807.8,733.3,115.6,981.5,1182.8,1201.1,5.0,370.8,356.7,856.8,865.6,808.1,758.4,567.0,379.4
41,278.1,96.7,550.3,1049.0,1295.7,1161.1,1051.7,798.8,749.7,106.0,975.2,1176.3,1181.6,5.0,375.8,363.7,858.7,865.1,815.7,770.3,578.8,389.3
42,278.3,96.6,549.0,1049.2,1311.5,1157.1,1060.1,749.6,699.2,118.8,969.6,1164.9,1162.1,5.0,369.6,359.3,860.8,873.0,812.8,766.5,542.5,362.5
43,277.9,96.3,549.4,1049.2,1300.2,1161.0,1035.1,785.1,734.6,115.8,966.9,1191.0,1171.2,5.0,374.9,361.5,862.5,868.9,812.8,766.1,575.1,386.8
44,278.2,96.2,549.7,1050.2,1324.8,1168.4,1028.1,765.9,750.9,117.9,957.6,1206.2,1160.9,5.0,379.6,365.6,850.7,868.1,810.6,753.7,558.5,385.8
45,277.9,96.6,550.3,1049.9,1324.4,1162.7,1067.8,750.9,750.0,112.6,964.8,1188.1,1160.7,5.0,376.1,364.7,862.7,877.7,817.4,769.1,542.0,380.6
46,278.1,97.0,550.0,1053.3,1323.7,1145.8,1042.1,805.9,756.5,107.5,974.7,1193.2,1153.2,4.9,388.4,379.3,851.4,878.6,825.0,782.0,595.8,397.7
