,TAG,A_431FM1_FI,B_431FM2_FI,C_431BE1_JT,D_471FN1_FT01,E_471FN2_FT01,F_471FN3_FT01,G_471FN4_FT01,H_471FN5_FT01,I_471FN6_FT01,J_471FN7_FT01,K_471CLNKR_TT,L_SPC_COOLING_AIR,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,E _471FN2_PT01,F_471FN3_PT01,G_471FN4_PT01,H_471FN5_PT01,I_471FN6_PT01,J_471FN7_PT01
0,TAG DES,Kiln Feed,Kiln Feed,Kiln Feed BE KW,COOLER FAN-1 FOLW,COOLER FAN-2 FOLW,COOLER FAN-3 FOLW,COOLER FAN-4 FOLW,COOLER FAN-5 FOLW,COOLER FAN-6 FOLW,COOLER FAN-7 FOLW,CLINKER TEMP,SP COOLER AIR,TERITIARY AIR TEMP,Kiln I/L Temp,BURNING ZONE TEMP,Kiln rpm,Kiln current,kiln M.DRIVE POWER,COOLER FAN-2 PRESSURE,COOLER FAN-3 PRESSURE,COOLER FAN-4 PRESSURE,COOLER FAN-5 PRESSURE,COOLER FAN-6 PRESSURE,COOLER FAN-7 PRESSURE
1,UNIT,TPH,TPH,Kw,m³/min,m³/min,m³/min,m³/min,m³/min,m³/min,m³/min,°C,kg Air/Kg CLK,°C,°C,°C,rpm,A,Kw,mmWc,mmWc,mmWc,mmWc,mmWc,mmWc
2,06-01-2019 00:00,0,299.4,102,580.5,1052.4,1348.2,1152.5,1033.9,766.6,724.8,110.4,0,974.1,1153.9,1135.5,5,388,383.3,837.8,882.3,842.3,796.9,587.4,390.9
3,06-01-2019 01:00,0,300.1,101.7,580.7,1050,1338.9,1126.7,1047,764.9,722.6,109.6,0,981.9,1147.5,1141.8,5,399.5,397.7,859.7,889.9,842,794.5,588.7,388.9
4,06-01-2019 02:00,0,299.6,101.8,579.9,1051,1355.8,1180.8,1036,774,735.3,108.8,0,985.4,1157.7,1134.9,5,400.5,394.8,840.7,880.1,841.2,792.1,598.6,401.1
5,06-01-2019 03:00,0,300,101.7,580,1049.6,1355.7,1152.9,1010.8,777,740.4,105.6,0,990.9,1143,1123.4,5,398.7,396.3,844.3,883.8,847.5,804.9,612.2,412.9
6,06-01-2019 04:00,0,299.7,101.3,579.4,1050.4,1365.7,1178.5,1027.1,756.9,710.3,106.4,0,983.2,1136.1,1111.8,5,393.2,386.7,835.2,877.5,843.3,802.3,604,407.8
7,06-01-2019 05:00,0,299.7,101.9,579.9,1051.2,1358,1144.8,1018.3,710.9,658.8,105.2,0,992.2,1154,1092.4,5,391.6,385.8,838.9,886.6,850.9,810.6,588.1,387.3
8,06-01-2019 06:00,0,268.9,95,579.6,1047.1,1320.6,1128.4,1015.1,665.1,650.7,101.7,0,932.9,1169.6,1018.6,4.2,407.6,341.1,824.6,900.3,853.2,780.7,511.5,357.6
9,06-01-2019 07:00,0,226,82.5,578.4,1050.6,1276.6,1113.3,950,658.3,659,92.7,0,910.2,1132.8,1086.8,3.3,478.1,347.1,877.9,907.4,854.8,779.3,534,366.3
